
1 1 10490 192 12490  1 0 0 0 1 0 0 0 1 782.DAT
1 1 10490 192 13490  1 0 0 0 1 0 0 0 1 782.DAT
1 1 11490 192 12490  1 0 0 0 1 0 0 0 1 782.DAT
1 1 11490 192 13490  1 0 0 0 1 0 0 0 1 782.DAT
1 2 10000 32 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10020 32 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10040 32 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10060 32 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10080 32 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10100 32 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10120 32 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10140 32 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10160 32 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10180 32 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10200 32 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10220 32 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10240 32 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10260 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10280 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10300 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10320 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10340 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10360 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10380 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10400 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10420 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10440 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10460 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10480 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10500 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10520 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10540 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10560 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10580 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10600 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10620 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10640 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10660 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10680 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10700 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10720 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10740 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10760 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10780 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10800 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10820 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10840 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10860 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10880 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10900 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10920 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10940 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10960 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 10980 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 11000 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 11020 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 11040 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 11060 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 11080 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 11100 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 11120 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 11140 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 11160 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 11180 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 11200 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 11220 40 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 11240 48 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 11260 48 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 11280 48 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 11300 48 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 11320 48 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 11340 48 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 11360 48 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 11380 48 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 11400 48 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 11420 48 12000  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 11440 48 12000  1 0 0 0 1 0 0 0 1 3005.DAT
